"","core","depth_core","pctOrg","drive","depth_core.y","depth_composite","median_age","quant_5perc","quant_95perc","accu_rate"
"293","4A",825,10.10774029,"6L",84,963,28989.5,27985.9,30424.05,45.5
"294","4A",829,14.425023,"6L",88,967,29208,28102.2,30674.35,52
"295","4A",841,10.61196106,"7L",0,979,29819,28490.55,31369.1,45.5
"296","4A",845,12.13506859,"7L",4,983,30004.5,28618.8,31574.35,48.5
"297","4A",849,14.64703662,"7L",8,987,30203,28730.6,31798.5,44.5
"298","4A",853,9.559748428,"7L",12,991,30418,28899.7,31932.1,52.5
"299","4A",857,9.092033647,"7L",16,995,30619,29068.7,32122.15,55.5
"300","4A",861,10.48632219,"7L",20,999,30810,29292.5,32242.15,46
"301","4A",865,10.47258357,"7L",24,1003,31026,29492.75,32343.25,54
"302","4A",869,8.612686952,"7L",28,1007,31258,29673.8,32470.1,63.5
"303","4A",873,8.099256833,"7L",32,1011,31465.5,29874.1,32661.15,48
"304","4A",877,7.366867544,"7L",36,1015,31672.5,30134.8,32820.05,45.5
"305","4A",881,7.289920996,"7L",40,1019,31878,30342.6,32938.15,44.5
"306","4A",885,8.157595656,"7L",44,1023,32067.5,30635.65,33042.4,50.5
"307","4A",889,7.57483201,"7L",48,1027,32253.5,30912.3,33130.1,49.0000000000036
"308","4A",893,3.860367275,"7L",52,1031,32468,31213.25,33235.2,55.5
"309","4A",897,11.02255639,"7L",56,1035,32680.5,31574.6,33358.1,49.5
"310","4A",901,8.221952207,"7L",60,1039,32920.5,31941,33492.15,63.5
"311","4A",905,9.531227871,"7L",64,1043,33288.5,32483.7,33873.1,99.5
"312","4A",909,8.736371261,"7L",68,1047,33530.5,32693.95,34385.05,48
"313","4A",913,9.961572569,"7L",72,1051,33723,32880.65,34737.6,47
"314","4A",917,12.29681979,"7L",76,1055,33913.5,33032.95,34990.25,40
"315","4A",921,13.16221766,"7L",80,1059,34093.5,33173.95,35239.2,43
"316","4A",925,14.67433952,"7L",84,1063,34288.5,33269.5,35538.65,49
"317","4A",929,11.6320638,"7L",88,1067,34471.5,33364.1,35775.25,44
"318","4A",933,9.74692697,"7L",92,1071,34646,33499.7,36026.05,41
"319","4A",941,13.6080704,"8L",0,1079,35006,33736.05,36512.1,48
"320","4A",945,11.96761704,"8L",4,1083,35184,33895.75,36678.5,50
"321","4A",949,10.34786438,"8L",8,1087,35374,34011.45,36886.1,48
"322","4A",953,11.07733874,"8L",12,1091,35547.5,34169.8,37101.05,39
"323","4A",957,11.35882832,"8L",16,1095,35731,34267.4,37264.05,44
"324","4A",961,11.88967574,"8L",20,1099,35917.5,34438.55,37428.35,46.5
"325","4A",965,12.06847361,"8L",24,1103,36113,34645.8,37616.1,52.5
"326","4A",969,12.53308423,"8L",28,1107,36312,34816.8,37745.25,47.5
"327","4A",973,14.5611458,"8L",32,1111,36514,34992.25,37899.4,38
"328","4A",977,13.89293223,"8L",36,1115,36666.5,35244.9,38049.1,28
"329","4A",981,16.64275466,"8L",40,1119,36848,35408.85,38220.2,48.5
"330","4A",985,7.993795243,"8L",44,1123,37067,35591.6,38359.35,48.5
"331","4A",989,7.657922597,"8L",48,1127,37251,35802.65,38486.5,25.5
"332","4A",993,9.102416571,"8L",52,1131,37444,35984.45,38599,49.5
"333","4A",997,11.13602392,"8L",56,1135,37628.5,36189.4,38706.2,45.5
"334","4A",1001,11.1406578,"8L",60,1139,37796.5,36393.9,38791,58
"335","4A",1005,12.62318841,"8L",64,1143,37977,36722.05,38877.15,40.5
"336","4A",1009,10.80528468,"8L",68,1147,38142,36905.6,38972.15,37
"337","4A",1013,11.64006604,"8L",72,1151,38331.5,37172.35,39032.05,38.5
"338","4A",1017,12.16857934,"8L",76,1155,38521,37412.9,39090.1,48.5
"339","4A",1021,13.89830508,"8L",80,1159,38713,37673.95,39144.1,50
"340","4A",1025,8.866412715,"8L",84,1163,38914,38018.5,39195.05,53
