"","core","depth_core","volume","charCount","drive","depth_core.y","depth_composite","median_age","quant_5perc","quant_95perc","accu_rate","CHAR"
"121","4A",315,1,16,"1B",124,452,12559.5,12214.45,12849.05,20.5,0.780487804878049
"122","4A",316,1,19,"1B",125,453,12578,12236.95,12863.15,18.5,1.02702702702703
"123","4A",317,1,25,"1B",126,454,12593,12248,12871,15,1.66666666666667
"124","4A",318,1,35,"1B",127,455,12608,12267,12878.1,15,2.33333333333333
"125","4A",319,1,33,"1B",128,456,12625,12291.85,12897.05,17,1.94117647058824
"126","4A",320,1,38,"1B",129,457,12640,12304.75,12906.05,15,2.53333333333333
"127","4A",321,1,17,"1B",130,458,12656.5,12324.9,12915.05,16.5,1.03030303030303
"128","4A",322,1,27,"1B",131,459,12671,12350,12923.05,14.5,1.86206896551724
"129","4A",323,1,36,"1B",132,460,12683,12377.75,12933.05,12,3
"130","4A",324,1,58,"1B",133,461,12701,12405.8,12946.05,18,3.22222222222222
"131","4A",325,1,45,"1B",134,462,12721,12432.95,12959,20,2.25
"132","4A",326,1,78,"1B",135,463,12739.5,12464.95,12972.05,18.5,4.21621621621622
"133","4A",327,1,25,"1B",136,464,12759,12490.95,12982.15,19.5,1.28205128205128
"134","4A",328,1,54,"1B",137,465,12778.5,12527.9,12995.3,19.5,2.76923076923077
"135","4A",329,1,28,"1B",138,466,12798.5,12555.95,13015.05,20,1.4
"136","4A",330,1,103,"1B",139,467,12825,12598.95,13034,26.5,3.88679245283019
"137","4A",331,1,90,"1B",140,468,12856,12641.95,13050.1,31,2.90322580645161
"138","4A",332,1,78,"1B",141,469,12895,12706.9,13082.1,39,2
"139","4A",333,1,99,"1B",142,470,12954,12738.95,13180.05,59,1.67796610169492
"140","4A",344,1,92,"2B",3,481,13234,12926,13597.25,24,3.83333333333333
"141","4A",345,1,115,"2B",4,482,13257.5,12935.95,13617.15,23.5,4.8936170212766
"142","4A",346,1,161,"2B",5,483,13276.5,12947,13635.15,19,8.47368421052632
"143","4A",347,1,96,"2B",6,484,13297,12963.95,13654.05,20.5,4.68292682926829
"144","4A",348,1,113,"2B",7,485,13318.5,12977.95,13666.25,21.5,5.25581395348837
"145","4A",350,1,140,"2B",9,487,13361,13000,13710.05,22.5,6.22222222222222
"146","4A",351,1,124,"2B",10,488,13382,13027.95,13738.05,21,5.90476190476191
"147","4A",352,1,157,"2B",11,489,13405,13047.85,13753.1,23,6.82608695652174
"148","4A",353,1,194,"2B",12,490,13433,13059,13774.05,28,6.92857142857143
"149","4A",354,1,155,"2B",13,491,13459,13083,13787.15,26,5.96153846153846
"150","4A",355,1,105,"2B",14,492,13482.5,13105,13809.1,23.5,4.46808510638298
"151","4A",356,1,99,"2B",15,493,13500,13132,13824,17.5,5.65714285714286
"152","4A",357,1,191,"2B",16,494,13520.5,13144,13838,20.5,9.31707317073171
